,theta_x,theta_y,kappa_xy,kappa_yx,sigma_x,sigma_y
user_1,0.054782483135148954,0.06529647084908184,-0.0050911513571961515,-0.00949952344372827,0.32803650858237415,0.35665638423895607
user_10,0.08462894584640088,0.06729943701876218,-0.004119840342244703,-0.003538880093117106,0.4087907811044892,0.3648863729384958
user_11,0.026894881213610156,0.06505485290575715,-0.0017436657371872465,-0.0040387568608077195,0.23109308555414834,0.35847629072114956
user_12,0.008902753575338929,0.06399739573006821,-0.0018711943366117466,-0.006044219546732304,0.13200874238485566,0.3542451395771232
user_13,0.01189255010434302,0.06356725744753612,-0.001067682423147741,-0.010855003668508072,0.15308610670947892,0.35031581504282544
user_14,0.009274962607922268,0.07554860618731078,0.0011900048080713808,-0.004837039246053635,0.1366618194454865,0.38629090506420044
user_15,0.06981747811990871,0.06567073242768803,-0.009383457438280713,-0.009575468840719109,0.36736627969162045,0.3572687570571541
user_16,0.0336887187689437,0.06440655578284508,-0.004572802981261364,-0.011124783192476454,0.2562309835868764,0.35243957846791046
user_17,0.03329719358073712,0.05260107617822753,-0.004869092062772628,-0.006072223532169115,0.25519436636303633,0.32091297884401904
user_18,0.0985599848608556,0.07458541900106412,0.004374282217184563,0.001050103076814986,0.44082921893259125,0.38432739492078094
user_19,0.02545689806743537,0.06779893524670426,-0.005713363381613706,-0.009448741176185013,0.22141135720497823,0.3621541299161493
user_2,0.07350854193668598,0.06094970884485585,-0.004045889443068896,-0.004689330814753232,0.381073518666288,0.34687399187498646
user_20,0.03041394725720472,0.07119496532651823,-0.005460558413008938,-0.007302925459933434,0.24358728005500221,0.3727131027841257
user_21,0.019685157992140757,0.06932321510410677,-0.0003575272946101968,-0.0010967754403583075,0.19797560613183868,0.37069719186996986
user_22,0.013816794330410834,0.07088758250437578,-0.0006546097457432493,-0.0020442832702679695,0.1681667214735746,0.3746963132052904
user_3,0.044258858033412334,0.047297339672403495,-0.001172090945854758,-0.0011204406555848766,0.29658368534315543,0.3065323240290527
user_4,0.3335293824759108,0.07288056775669223,-0.0029510918390969402,-0.0027300842630442754,0.7994920445595521,0.3798866546912932
user_5,0.08740240539261056,0.05283943472533373,-0.004751188704261712,-0.00359842695798689,0.4151326744540312,0.3233305517227604
user_6,0.07755538351156288,0.04764715120863857,-0.0018181022052404156,-0.0019251727035867294,0.39181542576347156,0.3075717121119763
user_7,0.010106548178582033,0.05874559881597786,-0.002348028269700536,-0.011738167471421385,0.13867638982692798,0.3343997424022617
